分析項目,94年高中職學生完訪樣本數(人),94年高中職學生吸菸率(%),94年高中職男性學生完訪樣本數(人),94年高中職男性學生吸菸率(%),94年高中職女性學生完訪樣本數(人),94年高中職女性學生吸菸率(%),96年高中職學生完訪樣本數(人),96年高中職學生吸菸率(%),96年高中職男性學生完訪樣本數(人),96年高中職男性學生吸菸率(%),96年高中職女性學生完訪樣本數(人),96年高中職女性學生吸菸率(%),98年高中職學生完訪樣本數(人),98年高中職學生吸菸率(%),98年高中職男性學生完訪樣本數(人),98年高中職男性學生吸菸率(%),98年高中職女性學生完訪樣本數(人),98年高中職女性學生吸菸率(%),100年高中職學生完訪樣本數(人),100年高中職學生吸菸率(%),100年高中職男性學生完訪樣本數(人),100年高中職男性學生吸菸率(%),100年高中職女性學生完訪樣本數(人),100年高中職女性學生吸菸率(%),101年高中職學生完訪樣本數(人),101年高中職學生吸菸率(%),101年高中職男性學生完訪樣本數(人),101年高中職男性學生吸菸率(%),101年高中職女性學生完訪樣本數(人),101年高中職女性學生吸菸率(%),102年高中職學生完訪樣本數(人),102年高中職學生吸菸率(%),102年高中職男性學生完訪樣本數(人),102年高中職男性學生吸菸率(%),102年高中職女性學生完訪樣本數(人),102年高中職女性學生吸菸率(%),103年高中職學生完訪樣本數(人),103年高中職學生吸菸率(%),103年高中職男性學生完訪樣本數(人),103年高中職男性學生吸菸率(%),103年高中職女性學生完訪樣本數(人),103年高中職女性學生吸菸率(%),104年高中職學生完訪樣本數(人),104年高中職學生吸菸率(%),104年高中職男性學生完訪樣本數(人),104年高中職男性學生吸菸率(%),104年高中職女性學生完訪樣本數(人),104年高中職女性學生吸菸率(%),105年高中職學生完訪樣本數(人),105年高中職學生吸菸率(%),105年高中職男性學生完訪樣本數(人),105年高中職男性學生吸菸率(%),105年高中職女性學生完訪樣本數(人),105年高中職女性學生吸菸率(%)
整體,25618,15.2217,11832,21.0939,13409,8.542,25860,14.8142,13135,19.2713,12182,9.1237,25450,14.7835,12856,19.5745,12290,9.1017,24859,14.7474,12991,20.3025,11665,8.0984,34552,14.1026,10612,19.0402,10729,7.536,20294,11.8762,10217,16.5768,10061,6.8205,24083,11.5409,12523,16.5691,11534,6.064,23428,10.3535,11757,15.5778,11651,4.747,22994,9.2937,11449,13.0948,11483,5.1695
年級別=一年級,8879,15.125,4221,20.5191,4497,8.3193,9492,14.757,4690,19.0552,4638,8.7816,9011,14.8171,4550,19.3467,4337,9.2408,8791,14.4182,4657,20.353,4066,7.5723,7864,14.5134,3833,19.1931,3946,7.3354,6588,11.1525,3282,14.8985,3301,6.9445,8179,9.0491,4347,12.6256,3820,5.0372,7716,9.1457,3791,13.351,3918,4.8514,8126,7.472,4049,9.8599,4053,4.7945
年級別=二年級,8498,15.9632,3903,21.0448,4473,10.2384,8298,15.2424,4284,19.1802,3795,10.2106,8752,15.2058,4486,19.4331,4167,10.0445,8170,15.8846,4247,21.6351,3864,8.3623,7128,14.216,3666,18.4135,3391,8.7294,7453,11.2329,3820,17.1017,3629,5.0827,8194,13.0682,4248,19.0575,3941,6.6149,7525,10.8996,3710,16.6827,3809,4.1038,7240,8.5654,3599,12.5968,3621,4.3261
年級別=三年級,8241,14.4933,3708,21.8675,4439,6.9104,8070,14.4195,4161,19.6325,3749,8.373,7687,14.2992,3820,19.9831,3786,7.9417,7898,13.8827,4087,18.7306,3735,8.4082,6573,13.524,3113,19.5522,3392,6.575,6253,13.3702,3115,18.0053,3131,8.5041,7710,12.6398,3928,18.2159,3773,6.601,8187,11.0036,4256,16.6206,3924,5.2621,7570,11.635,3781,16.6892,3783,6.2503
學校類型=高中,11953,6.3701,5388,9.7466,6462,3.003,8977,3.6631,4033,5.5607,4818,1.9491,6604,3.9786,3352,5.8314,3204,1.8059,5733,3.5803,3417,5.1749,2300,1.7664,5222,3.8638,2514,6.249,2675,1.2579,5000,2.9567,2501,4.4214,2495,1.297,5941,3.7168,3232,5.5641,2702,1.7743,6196,2.3089,3168,3.7588,3024,0.8393,6196,2.9411,3017,4.9007,3170,0.8781
學校類型=高職,10983,16.7535,5094,23.7611,5720,8.7898,8622,17.7103,4831,22.915,3590,10.5911,5327,14.0739,2520,20.9195,2734,7.8282,5993,16.5388,2789,22.9211,3145,9.3247,5142,18.0845,2606,23.8176,2466,9.5566,5022,15.1922,2301,22.0676,2713,8.5202,6239,12.5525,3094,18.4617,3138,6.8275,5596,11.8232,2830,19.0541,2762,5.0076,5656,12.7188,2698,17.2393,2930,8.4401
學校類型=綜合,-,-,-,-,-,-,5191,10.8327,2643,14.7432,2462,5.6695,10669,14.8121,5245,19.9975,5319,8.5161,9555,16.084,4734,23.7936,4757,7.3778,8870,11.0854,4231,16.8671,4571,4.5007,8422,9.6399,4380,14.448,4041,4.4913,10581,10.9304,5506,16.0655,5067,5.1946,10401,10.1914,5068,16.043,5323,3.6904,10054,9.6331,5155,13.8782,4878,4.5776
學校類型=夜間部,2682,42.5556,1350,50.8041,1227,31.2847,3070,43.6276,1628,49.2647,1312,34.6615,2850,40.16,1739,45.4985,1033,32.2228,3578,33.2675,2051,37.6171,1463,25.9084,2331,44.1086,1261,49.9559,1017,33.9905,1850,41.037,1035,47.1753,812,32.7707,1322,37.1947,691,46.0804,627,24.6275,1235,37.6381,691,43.903,542,28.1389,1088,27.7915,579,33.5896,505,20.8335
平均每月零用錢=沒有任何零用錢,3550,5.5973,1619,8.3018,1882,2.5955,3877,7.2243,1888,8.303,1896,5.6229,4229,5.4752,2101,6.9851,2067,3.5406,4305,4.7345,2223,6.0134,2045,2.7962,3875,4.8952,1883,7.1512,1960,2.483,1750,5.7075,942,7.7233,805,3.3633,2053,5.7197,1124,7.3939,926,3.8136,2163,5.1935,1107,7.4575,1052,2.8371,1906,4.0336,1009,5.1247,895,2.6565
平均每月零用錢=少於500元,5239,9.4223,2329,13.1853,2853,5.1286,5182,9.0203,2504,13.1018,2594,4.4977,5347,9.8979,2499,13.3855,2791,6.3099,4633,7.8992,2219,13.0649,2387,2.7602,4019,6.6935,1817,9.9891,2182,3.5739,3828,5.0718,1717,7.9135,2106,2.4558,4759,5.5646,2231,9.1832,2525,2.4176,4382,4.8335,2014,7.7633,2363,1.934,3799,3.812,1627,5.1101,2153,2.4883
平均每月零用錢=500~1499元,6486,10.2192,2855,15.2593,3552,5.0198,6491,10.5863,3237,13.6521,3144,6.9695,6241,10.0332,3041,14.5791,3143,5.0486,5622,11.0928,2792,14.7033,2794,6.471,4801,9.2348,2306,12.044,2445,5.723,5568,6.8923,2650,9.0864,2915,4.8385,6800,7.729,3411,11.3643,3383,4.022,6339,6.361,3033,9.7438,3301,3.0786,6089,4.9864,2855,7.1478,3216,2.8653
平均每月零用錢=1500~2499元,3600,14.2295,1669,20.2181,1884,8.0514,3691,12.4366,1872,16.478,1748,7.85,3362,13.9483,1696,18.9219,1634,8.0496,3324,14.5214,1753,20.1018,1557,7.7812,2937,10.9395,1420,16.2172,1488,5.3908,3219,10.2108,1646,14.5313,1571,5.3452,3873,10.2365,2032,14.7597,1837,5.4466,3740,8.7694,1929,13.7977,1808,3.1663,3775,7.708,1943,10.7501,1824,4.435
平均每月零用錢=2500~3499元,2218,17.806,1047,24.5941,1126,9.4402,2228,17.3215,1236,22.7838,954,10.0207,2164,17.2226,1206,22.2574,931,9.7963,2102,20.0989,1205,25.2866,882,12.0931,1832,18.3247,919,23.5221,895,9.7892,2016,15.0569,1091,21.5739,925,7.0399,2267,11.7864,1240,17.6965,1024,4.5298,2188,12.2484,1135,18.5571,1053,5.6233,2547,10.1709,1357,13.9558,1187,5.6799
